instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-stabu1_250,CW,Insert,First-improvement,7612236,15.657000,+1.6817
N-stabu1_250,CW,Insert,Best-improvement,7602849,3.516000,+1.8030
N-stabu2_150,Random,Transpose,First-improvement,2726108,0.000000,+37.0056
N-stabu2_150,Random,Transpose,Best-improvement,2730307,0.000000,+36.9085
N-stabu2_150,Random,Exchange,First-improvement,4215338,3.672000,+2.5927
N-stabu2_150,Random,Exchange,Best-improvement,4231238,0.640000,+2.2253
N-stabu2_150,Random,Insert,First-improvement,4259868,2.594000,+1.5637
N-stabu2_150,Random,Insert,Best-improvement,4224250,0.484000,+2.3868
N-stabu2_150,CW,Transpose,First-improvement,3615368,0.000000,+16.4567
N-stabu2_150,CW,Transpose,Best-improvement,3642431,0.000000,+15.8313
N-stabu2_150,CW,Exchange,First-improvement,4233010,2.734000,+2.1843
N-stabu2_150,CW,Exchange,Best-improvement,4216998,0.484000,+2.5543
N-stabu2_150,CW,Insert,First-improvement,4257047,2.032000,+1.6289
N-stabu2_150,CW,Insert,Best-improvement,4252349,0.484000,+1.7375
N-stabu2_250,Random,Transpose,First-improvement,8062091,0.000000,+29.8976
N-stabu2_250,Random,Transpose,Best-improvement,8105175,0.000000,+29.5230
N-stabu2_250,Random,Exchange,First-improvement,11173048,29.609000,+2.8468
N-stabu2_250,Random,Exchange,Best-improvement,11086653,4.422000,+3.5981
N-stabu2_250,Random,Insert,First-improvement,11246083,23.344000,+2.2118
N-stabu2_250,Random,Insert,Best-improvement,11282792,4.188000,+1.8926
N-stabu2_250,CW,Transpose,First-improvement,9796998,0.000000,+14.8120
N-stabu2_250,CW,Transpose,Best-improvement,9809566,0.000000,+14.7027
N-stabu2_250,CW,Exchange,First-improvement,11246102,23.687000,+2.2116
N-stabu2_250,CW,Exchange,Best-improvement,11175831,4.219000,+2.8226
N-stabu2_250,CW,Insert,First-improvement,11343204,18.187000,+1.3673
N-stabu2_250,CW,Insert,Best-improvement,11308204,3.531000,+1.6716
N-stabu3_150,Random,Transpose,First-improvement,2651712,0.000000,+41.2095
N-stabu3_150,Random,Transpose,Best-improvement,2647243,0.000000,+41.3086
N-stabu3_150,Random,Exchange,First-improvement,4398699,3.328000,+2.4775
N-stabu3_150,Random,Exchange,Best-improvement,4350861,0.469000,+3.5381
N-stabu3_150,Random,Insert,First-improvement,4459764,2.625000,+1.1236
N-stabu3_150,Random,Insert,Best-improvement,4432284,0.594000,+1.7329
N-stabu3_150,CW,Transpose,First-improvement,3761091,0.000000,+16.6137
N-stabu3_150,CW,Transpose,Best-improvement,3785524,0.000000,+16.0721
N-stabu3_150,CW,Exchange,First-improvement,4400030,2.671000,+2.4480
N-stabu3_150,CW,Exchange,Best-improvement,4387071,0.516000,+2.7353
N-stabu3_150,CW,Insert,First-improvement,4435836,1.891000,+1.6541
N-stabu3_150,CW,Insert,Best-improvement,4435643,0.437000,+1.6584
N-stabu3_250,Random,Transpose,First-improvement,7552108,0.000000,+36.5386
N-stabu3_250,Random,Transpose,Best-improvement,7592894,0.000000,+36.1959
N-stabu3_250,Random,Exchange,First-improvement,11567513,34.859000,+2.7966
N-stabu3_250,Random,Exchange,Best-improvement,11549906,5.063000,+2.9445
N-stabu3_250,Random,Insert,First-improvement,11751489,24.656000,+1.2506
N-stabu3_250,Random,Insert,Best-improvement,11614266,4.391000,+2.4037
N-stabu3_250,CW,Transpose,First-improvement,10036485,0.000000,+15.6620
N-stabu3_250,CW,Transpose,Best-improvement,10074173,0.000000,+15.3453
N-stabu3_250,CW,Exchange,First-improvement,11639040,24.968000,+2.1955
N-stabu3_250,CW,Exchange,Best-improvement,11517558,4.094000,+3.2164
N-stabu3_250,CW,Insert,First-improvement,11727769,18.844000,+1.4499
N-stabu3_250,CW,Insert,Best-improvement,11668315,3.578000,+1.9495
N-t59b11xx_150,Random,Transpose,First-improvement,2190795,0.000000,+32.3735
N-t59b11xx_150,Random,Transpose,Best-improvement,2197385,0.000000,+32.1701
N-t59b11xx_150,Random,Exchange,First-improvement,3173245,2.000000,+2.0467
N-t59b11xx_150,Random,Exchange,Best-improvement,3127495,0.437000,+3.4590
N-t59b11xx_150,Random,Insert,First-improvement,3187265,2.094000,+1.6140
N-t59b11xx_150,Random,Insert,Best-improvement,3173655,0.641000,+2.0341
N-t59b11xx_150,CW,Transpose,First-improvement,2677330,0.000000,+17.3549
N-t59b11xx_150,CW,Transpose,Best-improvement,2679880,0.000000,+17.2762
N-t59b11xx_150,CW,Exchange,First-improvement,3148520,1.641000,+2.8100
N-t59b11xx_150,CW,Exchange,Best-improvement,3135240,0.406000,+3.2199
N-t59b11xx_150,CW,Insert,First-improvement,3190210,1.250000,+1.5231
N-t59b11xx_150,CW,Insert,Best-improvement,3162490,0.531000,+2.3787
N-t59b11xx_250,Random,Transpose,First-improvement,5591620,0.000000,+33.5273
N-t59b11xx_250,Random,Transpose,Best-improvement,5591855,0.000000,+33.5246
N-t59b11xx_250,Random,Exchange,First-improvement,8156485,20.000000,+3.0365
N-t59b11xx_250,Random,Exchange,Best-improvement,8109395,4.156000,+3.5963
N-t59b11xx_250,Random,Insert,First-improvement,8225225,17.781000,+2.2193
N-t59b11xx_250,Random,Insert,Best-improvement,8146530,4.328000,+3.1548
N-t59b11xx_250,CW,Transpose,First-improvement,7040520,0.000000,+16.3030
N-t59b11xx_250,CW,Transpose,Best-improvement,7045445,0.000000,+16.2444
N-t59b11xx_250,CW,Exchange,First-improvement,8209515,18.078000,+2.4061
N-t59b11xx_250,CW,Exchange,Best-improvement,8135160,3.531000,+3.2900
N-t59b11xx_250,CW,Insert,First-improvement,8292620,13.453000,+1.4181
N-t59b11xx_250,CW,Insert,Best-improvement,8199405,3.468000,+2.5262
N-t59d11xx_150,Random,Transpose,First-improvement,944878,0.000000,+35.4017
N-t59d11xx_150,Random,Transpose,Best-improvement,945637,0.000000,+35.3498
N-t59d11xx_150,Random,Exchange,First-improvement,1420614,2.578000,+2.8771
N-t59d11xx_150,Random,Exchange,Best-improvement,1408677,0.547000,+3.6932
N-t59d11xx_150,Random,Insert,First-improvement,1433021,2.110000,+2.0289
N-t59d11xx_150,Random,Insert,Best-improvement,1434708,0.609000,+1.9135
